Area name,"Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",population 2016,median_HH_income,GDP_Change 2016,House_price 2019
Adams County,37.3,41.3,12.8,8.6,26.5,43.7,19,10.8,21.2,35,30.8,13,21.2,30.8,30.7,17.4,16.2,28.6,30.9,24.3,497395,65442,-5.13,296396
Alamosa County,40.2,29.7,12.3,17.8,29.1,31.9,18.4,20.6,23.1,27.6,25.3,24.1,17.4,27.1,28.6,27,13.1,28.5,33.3,25,16456,37057,-10.4,138148
Arapahoe County,23.9,36.3,18.3,21.5,11.4,31.8,24.8,31.9,8.5,21.8,34.5,35.2,9.3,20.5,33.1,37,7.4,20.8,29,42.8,636949,70866,-4.35,604530
Archuleta County,54.2,31.8,8.1,5.9,27.7,28.9,21.1,22.3,19.1,33.7,27.4,19.7,12.7,26.8,31.5,29,7.7,21,34.2,37.2,12836,51998,6.53,355895
Baca County,53.7,30.4,8.8,7.1,37.8,34.7,15,12.4,28,35,23.4,13.6,21.5,34.3,30.1,14,13.8,28,36.8,21.4,3548,34070,-29.23,62451
Bent County,57.5,25.9,10.7,5.9,39.1,32.2,18.7,9.9,27.3,32.8,25.2,14.6,22.8,35.1,30.6,11.5,15.2,48.7,24.6,11.4,5681,33951,-17.02,69980
Boulder County,24.2,31.8,17.5,26.5,12.6,28.6,22.4,36.4,8.7,20.1,29.1,42.1,7.2,15.1,25.3,52.4,5,11.7,21.2,62.1,321173,74772,-8.72,452788
Broomfield County,,,,,,,,,,,,,,,,,3.1,14.5,26.7,55.7,66509,86870,-4.82,406099
Chaffee County,41.6,40.1,10.3,8,27.2,41.4,18,13.3,19,36.7,29.1,15.2,11.5,29.9,34.2,24.3,6.5,27,32.7,33.8,19082,49877,8.75,305932
Cheyenne County,48.9,39.6,5.6,5.9,28.1,44.8,14.4,12.7,19.2,44.3,24.7,11.9,15.9,34.8,35.2,14.2,8.4,36.8,35.7,19.2,1834,50558,-27.38,110930
Clear Creek County,35.5,37,14.4,13,12.3,34.5,23.4,29.9,8.2,26.2,34.4,31.2,6.6,21.5,33.1,38.8,1.4,21.9,28.7,48.1,,,,
Conejos County,59.4,27.2,8,5.4,48,29.3,12.9,9.7,36.3,33.3,19.7,10.7,27.9,33.8,23.8,14.4,12,33.9,33,21,8072,34390,-15.66,236831
Costilla County,61,23.6,7.7,7.7,54.1,25.7,10.1,10.1,39.5,32.4,17.6,10.5,31.8,27.3,28.1,12.8,19,24.5,37.2,19.3,3705,27211,-25.68,98238
Crowley County,57.7,27.9,9,5.4,44.1,38,9.4,8.6,29.7,32.1,30.2,8,22.5,34.5,31.2,11.9,13.9,42.6,34.5,9,5254,35873,-32.25,93928
Custer County,44.5,34.2,15.8,5.5,21,41.9,20.3,16.8,16.2,35.4,29.2,19.2,9.7,28.1,35.6,26.7,6.4,20.8,40.3,32.5,4601,52021,-35,45537
Delta County,50.9,30.7,11.2,7.2,32,40.2,15.7,12.2,27,37,22.4,13.6,19.9,34,28.5,17.6,9.3,38.3,30.7,21.7,30346,41798,-17.47,179952
Denver County,38.5,31.9,14,15.5,25.3,30.1,19.9,24.8,20.8,23.6,26.6,29,21.1,20,24.4,34.5,12,16.8,21.7,49.4,694777,61038,-4.08,245980
Dolores County,60.4,25.6,11.8,2.2,35.6,41.8,14.9,7.7,28.2,42.8,19.3,9.8,24,33.3,29.3,13.5,6.2,36.2,33.5,24.1,2062,46791,-0.7,373186
Douglas County,28.5,35.6,17.2,18.7,11.5,35.7,25.6,27.2,5.2,19.7,34.4,40.7,3,13.1,32,51.9,1.9,12,28.1,58,327722,112399,4.88,155149
Eagle County,43.4,32.5,12.2,12,10.4,30.2,24.8,34.6,10.2,23,33.8,33,13.4,16.5,27.5,42.6,11.7,15.2,25.9,47.2,54364,79556,4.07,483301
Elbert County,45.2,35,12,7.7,23.3,44.7,17,15,15.8,32.2,32.2,19.8,7.5,27.4,38.5,26.6,3.3,24.1,36.8,35.8,25041,86693,9.82,648338
